,2010-09-26-2011-09-24
CashAndCashEquivalentsAtCarryingValue,
CashAndCashEquivalentsPeriodIncreaseDecrease,-1446000000
DeferredIncomeTaxExpenseBenefit,2868000000
DepreciationAmortizationAndAccretionNet,1814000000
EmployeeServiceShareBasedCompensationCashUsedToPayTaxesForEquityNetShareSettlement,520000000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,1133000000
IncomeTaxesPaidNet,3338000000
IncreaseDecreaseInAccountsPayable,2515000000
IncreaseDecreaseInAccountsReceivable,-143000000
IncreaseDecreaseInDeferredRevenue,1654000000
IncreaseDecreaseInInventories,-275000000
IncreaseDecreaseInOtherOperatingAssets,1391000000
IncreaseDecreaseInOtherOperatingLiabilities,4495000000
IncreaseDecreaseInOtherReceivables,1934000000
NetCashProvidedByUsedInFinancingActivities,1444000000
NetCashProvidedByUsedInInvestingActivities,-40419000000
NetCashProvidedByUsedInOperatingActivities,37529000000
NetIncomeLoss,25922000000
PaymentsForProceedsFromOtherInvestingActivities,259000000
PaymentsToAcquireAvailableForSaleSecurities,102317000000
PaymentsToAcquireBusinessesNetOfCashAcquired,244000000
PaymentsToAcquireIntangibleAssets,3192000000
PaymentsToAcquireProductiveAssets,4260000000
ProceedsFromIssuanceOfCommonStock,831000000
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,20437000000
ProceedsFromSaleOfAvailableForSaleSecurities,49416000000
ShareBasedCompensation,1168000000
