,year,CIK,AssetsCurrent,LiabilitiesCurrent,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,OperatingIncomeLoss,NetIncomeLoss,ticker
0,2009,0001140859,9953753000,9479610000,783763000,-148349000,-504160000,131254000,883749000,503397000,ABC
1,2009,0000829224,2035800000,1581000000,1389000000,-421100000,-642200000,330000000,562000000,390800000,SBUX
2,2009,0000796343,2473624000,844553000,1117772000,-1497096000,477658000,113037000,690513000,386508000,ADBE
4,2009,0000875045,2480595000,714942000,1074898000,-395031000,-724151000,-44284000,1295427000,970132000,BIIB
5,2009,0000100885,3680000000,2682000000,3234000000,-2175000000,-458000000,601000000,3392000000,1898000000,UNP
6,2009,0001022079,1679425000,1059212000,997418000,-195904000,-521204000,280310000,1359111000,729111000,DGX
7,2009,0000823768,3010000000,2901000000,2362000000,-1250000000,-457000000,660000000,1887000000,994000000,WM
8,2009,0001306830,2856000000,1607000000,596000000,31000000,-112000000,578000000,290000000,488000000,CE
9,2009,0000007332,564501000,536416000,1359376000,-1780604000,238135000,-183093000,-34966000,-35650000,SWN
11,2009,0001018963,1997600000,624600000,218500000,-453700000,474100000,238900000,92700000,31700000,ATI
13,2010,0000103379,2629356000,1092583000,973485000,-316876000,-319343000,349705000,736817000,461271000,VFC
25,2010,0000040704,3480000000,3769100000,2181200000,-721200000,-1503800000,-76600000,2606100000,1530500000,GIS
27,2010,0000731802,875192000,1166079000,726476000,-542702000,-163025000,20749000,489436000,205839000,ATO
38,2010,0000755001,117100000,126900000,25900000,-49600000,24900000,1200000,28000000,9600000,UTL
39,2010,0000755001,117100000,126900000,25900000,-49600000,24900000,1200000,28000000,9600000,UTL
40,2010,0000755001,117100000,126900000,25900000,-49600000,24900000,1200000,28000000,9600000,UTL
41,2010,0000755001,117100000,126900000,25900000,-49600000,24900000,1200000,28000000,9600000,UTL
42,2010,0000755001,117100000,126900000,25900000,-49600000,24900000,1200000,28000000,9600000,UTL
43,2010,0000755001,117100000,126900000,25900000,-49600000,24900000,1200000,28000000,9600000,UTL
